tax,세금|과세하다
surround,둘러싸다|에워싸다
relief,안도|구호|경감
datum,데이터|자료|기준점
cynical,냉소적인|비관적인|의심하는
oil,기름|석유|기름을 바르다
protein,단백질
minimal,최소한의|미니멀|최소
scholar,학자|장학생
quit,그만두다|떠나다
credit,신용|크레딧|공로
opinion,의견|소견|판단
highway,고속도로|간선도로|주요 도로
innocent,무죄의|순진한|해가 없는
textbook,교과서
derive,얻다|유래하다|파생시키다
safe,안전한|금고
fortune,운명|재산|행운
frame,틀|프레임|구조
drop,떨어뜨리다|하락하다|방울
conduct,행동하다|지휘하다|수행하다
absorb,흡수하다|몰입시키다|포함하다
pond,연못|못
ask,묻다|요청하다|초대하다
steep,가파른|급격한|터무니없는
post,우편|게시물|기둥
only,오직|단지|유일한
corridor,복도|통로|지역
bring,가져오다|데려오다|초래하다
nest,둥지|집|보금자리
artifice,기교|교묘함|속임수
scale,규모|저울|비율
understand,이해하다|알아듣다
instance,예|사례|인스턴스
vote,투표|투표하다
ribbon,리본|장식 띠
participate,참여하다|참가하다|가담하다
marathon,마라톤|장거리
egg,달걀|알|계란
pile,더미|쌓다|무더기