send,보내다|파견하다
answer,답변|대답하다|해결하다
limit,한계|제han하다|경계
perform,공연하다|수행하다|실행하다
roar,포효하다|굉음|함성
resource,자원|재원|수단
accelerate,가속하다|촉진하다|빨라지다
summit,정상|최고 회담
since,~이후로|~때문에
individual,개인의|개별의|개인
gain,얻다|이익|증가
channel,채널|수로|경로
rob,강탈하다|도둑질하다
leisure,여가|한가한|여유
captain,선장|대장|주장
sail,항해하다|돛|돛단배
blast,폭발|강풍|비난하다
cast,던지다|배우진|주조하다
vast,광대한|막대한
proper,적절한|제대로 된
congress,의회|국회|대회
big,큰|중요한|성숙한
violent,폭력적인|격렬한
key,열쇠|키|중요한
tribe,부족|종족
reflect,반영하다|반사하다|곰곰이 생각하다
divide,나누다|분할하다|분리하다
quick,빠른|신속한|재빨리
dozen,다스|12개|많은
chaos,혼란|무질서|카오스
instrument,도구|악기|문서
irony,아이러니|반어|모순
spoil,망치다|상하다|응석을 받아주다
doughnut,도넛
repair,수리하다|고치다|수리
legislate,입법하다|법을 제정하다|규정하다
claim,주장하다|요구하다|청구
virus,바이러스
road,길|도로
success,성공|성공작