ten,열
yellow,노란색
turn,돌다|변하다|차례
broad,넓은|광범위한|대체적인
coffee,커피|커피색
illustrate,설명하다|그리다|예시하다
support,지지하다|지원하다|지지
cheek,뺨|뻔뻔함|건방진
retire,은퇴하다|퇴직하다|물러나다
tell,말하다|알리다|구별하다
average,평균|보통의|중간의
impact,충격|영향|충돌
legend,전설|범례|유명인
praise,칭찬하다|찬양하다|칭찬
issue,문제|발행하다|이슈
file,파일|서류|제출하다
controversy,논쟁|논란|분쟁
junior,후배|주니어|어린
respond,응답하다|반응하다|대답하다
add,더하다|추가하다|합산하다
associate,연관시키다|동료|부회장
kid,아이|농담하다|어린이
bundle,다발|꾸러미|묶다
scarf,목도리|스카프
gray,회색|회색의|우울한
arrange,정리하다|배치하다|준비하다
nuclear,핵의|원자력의|핵심적인
visit,방문하다|방문
soccer,축구
statistic,통계|통계 자료
four,네|4
resist,저항하다|버티다|견디다
shall,~일 것이다|~할까요
empty,비어있는|빈|비우다
twenty-first,스물한 번째의
where,어디에|~하는 곳에
process,과정|공정|처리하다
substitute,대체하다|대리인|대용품
theme,주제|테마
suck,빨다|흡수하다