mere,단순한|단지|순수한
sale,판매|매각|할인
circumstance,상황|환경|조건
orbit,궤도|공전하다
common,일반적인|공통의|흔한
bean,콩|강낭콩|작은 것
pan,팬|냄비|비판하다
around,주변에|대략|돌아서
assault,공격|폭행|습격
purple,보라색
along,따라서|함께|계속해서
dive,다이빙하다|잠수하다|급락하다
require,요구하다|필요로 하다
outline,개요|윤곽|요약하다
prince,왕자
sole,유일한|혼자의|발바닥
large,큰|광범위한|대규모의
wine,와인|포도주
scandal,스캔들|추문
hang,매달다|걸다|교수형
video,비디오|영상
they,그들|그것들
risk,위험|위험을 감수하다
squeeze,짜내다|쥐어짜다|압착
certificate,증명서|자격증|증명하다
brother,형제|동료|수도사
announce,발표하다|알리다|공표하다
receive,받다|수령하다|맞이하다
subject,주제|학과|지배를 받는
lose,잃다|지다|잃어버리다
chain,사슬|연쇄|체인
stitch,바느질하다|꿰매다|봉합
check,확인하다|체크|수표
arrest,체포하다|멈추다|관심을 끌다
badminton,배드민턴|셔틀콕
ethnic,민족의|인종의|민족
ordinary,일반적인|보통의|평범한
defense,방어|수비|변론
out,밖으로|나가서|끝난
transform,변형시키다|변화시키다