thief,도둑
quiz,퀴즈|쪽지시험
quote,인용하다|인용구|견적
bridge,다리|교량|다리를 놓다
stuff,물건|재료|채우다
marine,바다의|해양의|해병대
blend,섞다|혼합|조화
part,부분|역할|나누다
gymnasium,체육관|체육
annual,연간의|일년생의|연례의
gang,조직|무리|일당
arm,팔|무기|지부
cord,끈|코드|줄
club,클럽|곤봉|클럽에 가입하다
replace,대체하다|교체하다|제자리에 돌려놓다
statue,조각상|동상
revolution,혁명|회전
lion,사자|라이온|용감한 사람
riot,폭동|소동
telegraph,전보|전신
register,등록하다|기록하다|등록부
glass,유리|안경|유리잔
intense,강렬한|심한|열정적인
zebra,얼룩말
hell,지옥|고통
structure,구조|건물|구성하다
cage,새장|감옥|가두다
start,시작하다|출발하다|시작
pub,선술집|술집
verse,운문|시
basket,바구니|골대|바스켓
night,밤|야간|어둠
inject,주사하다|주입하다|투입하다
sphere,구|영역|범위
lip,입술|가장자리
balance,균형|잔고|균형을 맞추다
game,게임|경기|사냥감
oversea,해외의|해외
staff,직원|참모|직원을 배치하다
aunt,이모|고모|아줌마