convict,유죄판결하다|죄수|확신시키다
total,총계|전체의
bell,종|벨|종소리
infer,추론하다|추정하다|암시하다
together,함께|같이
join,가입하다|참여하다|연결하다
norm,표준|규범|일반적인
household,가정|가족|가정의
live,살다|생방송|살아있는
witness,목격자|증인|목격하다
bull,황소|수소|강세장
client,고객|의뢰인|클라이언트
enter,들어가다|입학하다|기록하다
negotiate,협상하다|교섭하다|해결하다
quantity,양|수량|분량
wise,현명한|지혜로운
addict,중독자|열광자|몰두하다
courage,용기|담력|용감함
identical,동일한|똑같은|일치하는
exhaust,지치게 하다|소모하다|배기
tomato,토마토
run,달리다|운영하다|흐르다
rice,쌀|밥
baseball,야구|야구공
stay,머무르다|유지하다|체류
concert,콘서트|음악회|협력
input,입력|투입|자료
hesitate,망설이다|주저하다|꺼리다
chocolate,초콜릿|초콜릿색
girl,소녀|여자|딸
fly,날다|파리|비행하다
reverse,뒤바꾸다|반대|역방향의
ride,타다|타고 가다|승차
ultimate,궁극적인|최고의
from,~에서|~부터|~로부터
apply,적용하다|지원하다|바르다
elephant,코끼리
affect,영향을 주다|감동시키다|가장하다
flash,번쩍임|플래시|갑작스러운
guitar,기타