crucial,중요한|결정적인|핵심적인
alike,비슷한|같은|유사한
react,반응하다|대응하다
wash,씻다|세탁하다
rough,거친|대략적인|난폭한
sacrifice,희생|제물|희생하다
dismiss,해고하다|무시하다|해산시키다
each,각각의|각자|매
handsome,잘생긴|훌륭한|관대한
cold,추운|감기|차가운
in,~안에|~에서|~로
press,누르다|언론|압박하다
emerge,나타나다|출현하다|밝혀지다
card,카드|명함|카드놀이
behave,행동하다|예의바르게 행동하다|작동하다
gentle,온화한|부드러운|신사적인
connect,연결하다|접속하다|관련시키다
rely,의지하다|신뢰하다
transact,거래하다|처리하다
also,또한|역시|마찬가지로
sweet,달콤한|친절한|디저트
language,언어|말|표현
reduce,줄이다|감소시키다|축소하다
reluctant,꺼리는|주저하는
construct,건설하다|구축하다|구성하다
iron,철|다리미|강인한
open,열다|열린|공개적인
comic,만화|코믹한|희극적인
inflate,부풀리다|인플레이션|과장하다
medium,중간|매체|중간의
skip,건너뛰다|생략하다|깡충 뛰다
clothes,옷|의류|복장
colony,식민지|집단|군체
chin,턱|턱을 받치다
discuss,토론하다|논의하다|상의하다
bounce,튀다|반동|기운찬
power,힘|권력|전력
phrase,구문|표현|말하다
roll,굴리다|구르다|두루마리
apart,떨어져|분리되어|별개로