shop,가게|쇼핑하다
ferry,페리|나룻배|운송하다
punch,주먹으로 치다|펀치|구멍을 뚫다
lift,들어올리다|승강기|기분을 좋게 하다
horror,공포|무서움|혐오
entertain,즐겁게 하다|접대하다|오락
inherent,내재적인|고유한|본질적인
piece,조각|개|작품
deny,부인하다|거부하다|거절하다
meal,식사|한 끼
critic,비평가|비판자|비판적인
continue,계속하다|지속하다|이어가다
battle,전투|싸움|투쟁하다
bike,자전거|바이크|오토바이
profound,심오한|깊은
heat,열|더위|가열하다
confer,상의하다|수여하다|회의하다
telephone,전화
citizen,시민|국민
anchor,닻|앵커|고정시키다
accept,받아들이다|승인하다|인정하다
castle,성|성 같은 집
face,얼굴|마주하다|표면
cinema,영화관|영화|시네마
ideal,이상적인|완벽한|이상
immediate,즉시의|직접적인|가까운
parent,부모|어버이
thumb,엄지손가락
another,또 다른|다른|추가의
shy,수줍은|내성적인
religion,종교
utilize,활용하다|이용하다
catch,잡다|따라잡다|이해하다
comprehend,이해하다|포함하다|포괄하다
analysis,분석|해석|검토
who,누구|~하는 사람
tide,조수|흐름
select,선택하다|고르다
foster,양육하다|촉진하다|입양의
mechanism,메커니즘|기구|구조