happen,일어나다|발생하다|우연히
today,오늘
overwhelm,압도하다|당황하게 하다|홍수에 잠기다
step,걸음|단계|조치
deliver,배달하다|전달하다|해산시키다
converse,대화하다|반대의|역
ahead,앞에|진행하여|미리
mature,성숙한|익은|성인
nephew,조카
inspire,영감을 주다|격려하다|고무시키다
manufacture,제조하다|생산하다|제조업
FALSE,거짓의|가짜의|잘못된
medicine,의학|약
some,약간의|몇몇의
prime,주요한|가장 좋은|전성기
newspaper,신문
aggress,공격하다|침략하다|적대하다
phase,단계|국면|상태
biology,생물학|생명과학|생물
image,이미지|상|인상
definite,명확한|확실한|정해진
moon,달|문|위성
thank,감사하다
tonight,오늘 밤
social,사회적인|사교적인
under,~아래에|~하에
toss,던지다|뒤집다
song,노래
instruct,가르치다|지시하다|교육하다
hello,안녕|여보세요|인사
withdraw,철회하다|인출하다|물러나다
stone,돌|석재
model,모델|모형|본보기
intelligent,지능적인|똑똑한|현명한
relevant,관련된|적절한
melon,멜론|참외
flush,홍조|플러시|갑자기 나타나다
blossom,꽃|개화|번영하다
cater,음식을 제공하다|만족시키다|대응하다
damage,손상|피해|손해