eleven,열하나|11
community,공동체|지역사회|커뮤니티
revise,수정하다|개정하다
war,전쟁
interpret,해석하다|통역하다|이해하다
assemble,조립하다|모으다|집회하다
within,~이내에|~안에
dense,밀집한|진한|어리석은
because,~때문에|~이므로|~하기에
submit,제출하다|복종하다
vehicle,차량|운송 수단|매개체
path,길|경로|진로
profession,직업|전문직|공언
award,상|시상하다|부여하다
case,경우|케이스|상자
roof,지붕
regular,규칙적인|정기적인|보통의
patient,환자|참을성 있는
tank,탱크|물탱크|저장고
gun,총|권총|쏘다
fate,운명|숙명|결말
drug,약물|마약|약을 먹이다
skate,스케이트를 타다|스케이트
compete,경쟁하다|경기하다|대항하다
fountain,분수|샘|원천
apartment,아파트|공동주택
guideline,지침|가이드라인|원칙
obsess,집착하다|사로잡히다|강박관념
allow,허용하다|가능하게 하다|인정하다
endure,견디다|지속하다|참다
off,떨어져|끄다|떠나다
lamb,양|어린 양|순진한 사람
burn,타다|화상|연소하다
loyal,충성스러운|충실한|신뢰할 수 있는
imply,암시하다|의미하다|포함하다
transport,운송하다|수송|운송 수단
glance,흘끗 보다|반짝이다|시선
compose,작곡하다|구성하다|작문하다
bush,덤불|관목|시골
cop,경찰|잡다|받다