pupil,학생|눈동자|동공
glory,영광|명예|장엄함
football,축구|미식축구|공
buy,사다|구입하다|매수하다
duty,의무|세금|근무
tray,쟁반|접시
envelope,봉투|포장|외피
curious,호기심 많은|이상한|궁금한
incorporate,통합하다|포함하다|법인화하다
biscuit,비스킷|쿠키|빵
alive,살아있는|생생한|활동적인
notebook,노트북|수첩|공책
accuse,고발하다|비난하다|혐의를 제기하다
compromise,타협하다|절충안|위험에 빠뜨리다
palace,궁전|궁|대저택
tissue,조직|휴지|얇은 천
return,돌아오다|반납하다|귀환
bore,지루하게 하다|구멍을 뚫다|지루한 사람
collapse,무너지다|붕괴|실신하다
adopt,입양하다|채택하다|따르다
funeral,장례식|장례|매우 심각한
take,가지다|가져가다|데려가다
smell,냄새|냄새 맡다|냄새가 나다
pride,자존심|자부심|자랑
west,서쪽|서쪽으로
exchange,교환하다|환전하다|교환
penalty,벌|처벌|페널티
holiday,휴일|휴가|축제
create,창조하다|만들다|생성하다
transition,과도기|변천|이행
doll,인형|예쁘게 꾸미다
birth,출생|탄생|기원
guy,남자|사람|친구
advertize,광고하다|알리다|선전하다
modest,겸손한|적당한|수줍어하는
twin,쌍둥이
page,페이지|쪽|호출하다
cash,현금|현금으로 바꾸다
paper,종이|신문|논문
shake,흔들다|떨다|악수