feature,특징|기능|출연하다
furniture,가구|비품|설비
joint,관절|공동의|이음매
firm,단단한|회사|확고한
after,이후에|뒤에|따라서
guard,지키다|경비|보호하다
reveal,드러내다|폭로하다|밝히다
forever,영원히|계속|영구히
form,형태|양식|구성하다
accumulate,축적하다|모으다|쌓이다
wrap,포장하다|감싸다
choir,합창단|성가대|합창
glad,기쁜|즐거운|만족한
flavor,맛|향미|특색
planet,행성|지구
rapid,신속한|빠른
stir,젓다|휘젓다|선동하다
progress,진전|발전|진행하다
tend,~하는 경향이 있다|돌보다
race,경주|인종|경쟁하다
duck,오리|피하다
meat,고기|육류|핵심
outcome,결과|성과|산물
learn,배우다|알다|학습하다
capital,수도|자본|대문자
marry,결혼하다|결혼시키다|결합하다
rat,쥐
chest,가슴|상자|금고
acquisition,획득|인수|취득
sustain,지탱하다|유지하다|지속하다
close,가까운|닫다|끝내다
much,많이|많은|훨씬
uniform,제복|균일한|한결같은
till,~까지
whip,채찍|휘젓다
match,경기|일치하다|상대
retain,유지하다|보유하다|간직하다
type,유형|종류|타자 치다
elaborate,정교한|자세히 설명하다|복잡한
encounter,만나다|마주치다|충돌