train,기차|훈련하다
next,다음의|다음에|옆의
restore,복구하다|회복시키다
round,둥근|회전|차례
compound,화합물|복합의|합성하다
measure,측정하다|조치|방법
urban,도시의
health,건강|보건|상태
extra,추가의|여분의|특별한
betray,배신하다|속이다|드러내다
legal,법적인|합법적인|법률의
camera,카메라|촬영기|감옥
major,주요한|전공|메이저
twenty-second,스물두 번째의
sample,샘플|견본|시식하다
complete,완전한|완성하다|완료하다
loose,느슨한|자유로운|풀린
away,떨어져|멀리|사라져서
back,뒤|등|돌아가다
advice,조언|충고|권고
watermelon,수박
motive,동기|목적
expense,비용|지출|경비
desire,욕망|원하다|바라다
luck,운|행운|우연
anticipate,예상하다|기대하다|미리 생각하다
rod,막대|채찍|회초리
abstract,추상적인|요약|추출하다
trace,흔적|추적하다
contract,계약|수축하다|계약서
relate,관련시키다|관련되다|이야기하다
admire,존경하다|감탄하다|칭찬하다
literature,문학|문헌|작품
refuse,거절하다|거부하다
two,둘
particular,특별한|특정한|세심한
frown,찌푸리다|인상을 쓰다|불만
ladder,사다리|계단|단계
aloud,소리내어|큰소리로|공개적으로
weather,날씨|기상