capture,포획하다|점령하다|사로잡다
utter,완전한|말하다
leaf,잎|잎사귀|페이지
medieval,중세의|고풍의
suffer,고통받다|겪다
recover,회복하다|되찾다
biography,전기|인물사|자서전
sudden,갑작스러운
bank,은행|둑|기울다
chance,기회|가능성|우연
silver,은|은색
per,~당|~마다|~에 따라
solve,해결하다|풀다
bug,벌레|버그|귀찮게 하다
zero,영|제로
plane,비행기|평면|대패
regard,간주하다|관심|존경
bankrupt,파산한|파산시키다|파산자
jacket,재킷|외투|표지
shell,껍데기|조개껍질|포격하다
nor,~도 ~않다|~도 아니고|그렇지도 않다
external,외부의|외면의|외적
laugh,웃다|웃음|웃기다
coal,석탄|숯|석탄을 공급하다
puzzle,퍼즐|수수께끼|당황하게 하다
small,작은|소규모의
surgery,수술|외과
dual,이중의|두 개의|쌍의
the,그|저
overcome,극복하다|이기다|압도하다
bias,편견|성향|기울다
implement,실행하다|도구|구현하다
highlight,강조하다|하이라이트|주요 부분
fierce,사나운|격렬한|치열한
harbor,항구|피난처|숨기다
desk,책상|데스크|사무실
order,순서|명령|주문하다
toy,장난감
lecture,강의|강연|훈계
burden,부담|짐|부담을 주다