mess,혼란|지저분한|엉망
perceive,인식하다|감지하다|이해하다
grip,잡다|파악하다|그립
darling,사랑하는|달링|귀여운
hospital,병원|의원
via,~을 경유하여|~을 통해
twelve,열둘
grave,무덤|심각한|중대한
airport,공항|비행장|항공터미널
district,지구|구역|지역
talent,재능|인재
supper,저녁 식사
sandwich,샌드위치
compensate,보상하다|보충하다|상쇄하다
recreation,레크리에이션|오락|휴양
feel,느끼다|만져보다|감정
unify,통합하다|통일하다
south,남쪽|남쪽으로
pie,파이
clean,깨끗한|청소하다|깨끗이
deprive,빼앗다|박탈하다|제거하다
constitute,구성하다|제정하다|~이 되다
expert,전문가|숙련된
honey,꿀|달콤한|사랑하는 사람
peasant,농민|시골 사람|농부
translate,번역하다|통역하다
presence,존재|참석|있음
sign,표지판|징후|서명하다
green,초록색|녹색의|경험 없는
yes,예|네
flight,비행|도망|비행편
liberty,자유|해방|권리
button,단추|버튼|단추를 채우다
forehead,이마|앞부분|정면
method,방법|수단|체계
mean,의미하다|의도하다|못된
headquarters,본부|사령부|중앙
dolphin,돌고래
condemn,비난하다|유죄판결하다|저주하다
craft,공예|기술|교묘함