innovate,혁신하다|새롭게 하다|개선하다
heart,심장|마음|중심
trail,흔적|자국|뒤따르다
at,~에|~에서|~때
slim,날씬한|가는
grace,은총|우아함|은혜
belt,벨트|띠|지대
necessary,필요한|필수적인|불가피한
thrill,흥분시키다|스릴
bag,가방|주머니|잡다
palm,손바닥|야자나무
plus,더하기|플러스|추가의
cycle,순환|자전거|주기
interval,간격|구간|휴식
consult,상담하다|참고하다|의논하다
prosper,번영하다|성공하다
crime,범죄|죄|악행
dedicate,헌신하다|바치다|봉납하다
toilet,화장실|변기
lean,기대다|마른|기울다
settle,정착하다|해결하다|결정하다
underlie,기저에 있다|근본이 되다
spectacle,장관|구경거리|안경
steel,강철|철강
advocate,옹호자|변호사|지지하다
passenger,승객|여행자
star,별|주연|스타
able,할 수 있는|능력이 있는|유능한
urge,촉구하다|충동
rally,집회|결집하다|회복
change,변화|바꾸다|거스름돈
direct,직접적인|지시하다|연출하다
elegant,우아한|세련된|고상한
screen,화면|스크린|가리다
present,현재|선물|제시하다
cease,중단하다|그만두다|끝나다
brand,상표|브랜드|낙인
low,낮은|적은|저조한
delegate,대표|위임하다|대표단
unit,단위|개별 장치|부대