pipe,파이프|관|담뱃대
main,주요한|메인|핵심적인
range,범위|영역|정렬하다
surrender,항복하다|포기하다|항복
awake,깨어있는|깨우다|깨닫다
tap,가볍게 두드리다|수도꼭지|도청하다
play,놀다|연주하다|연극
paragraph,문단|절|단락
secure,안전한|확보하다|안심하는
dirt,흙|더러움|먼지
solid,고체의|단단한|확고한
delight,기쁨|즐겁게 하다|환희
climb,오르다|등반하다|상승하다
nice,좋은|친절한|예쁜
wide,넓은|광범위한
haunt,괴롭히다|자주 가다|유령
radio,라디오|무선 통신
yield,산출하다|양보하다|수익
shirt,셔츠
passion,열정|정열|사랑
conceive,임신하다|상상하다|생각하다
especial,특별한|특수한|특히
fill,채우다|가득하다|충족시키다
be,~이다|존재하다|~에 있다
publish,출판하다|발표하다
dash,돌진하다|대시|소량
dream,꿈|꿈꾸다|이상
television,텔레비전
obtain,얻다|획득하다|달성하다
twenty-third,스물세 번째의
space,공간|우주|여지
repeat,반복하다|따라 말하다|반복
acid,산|신맛|신랄한
end,끝|종료하다|목적
umbrella,우산
spell,철자를 쓰다|주문|마법
extend,연장하다|확장하다|뻗다
this,이것
fertile,비옥한|생산적인|임신 가능한
therefore,그러므로|따라서