journal,일지|학술지|신문
can,할 수 있다|캔|통
taste,맛|맛보다|취향
essence,본질|핵심|향료
mission,임무|사명|선교
preside,주재하다|사회하다
noble,고귀한|귀족|훌륭한
combat,전투|싸우다|투쟁
countryside,시골|농촌|지방
how,어떻게|얼마나|어떤
surface,표면|수면|떠오르다
sit,앉다
boom,폭발음|호황|갑자기 커지다
bowl,그릇|사발|볼링
software,소프트웨어
problem,문제|곤경
ever,언제나|이전에|영원히
liberal,자유주의의|관대한|진보적인
double,두 배의|이중의|두 배로 하다
dig,파다|캐다|찾다
guess,추측하다|생각하다|추정
scramble,뒤섞다|허둥지둥 움직이다|스크램블
rage,분노|격노
tradition,전통|관습
environ,환경|주변|둘러싸다
jar,항아리|유리병|충격
carve,새기다|조각하다|자르다
counsel,조언|변호사|상담하다
slow,느린|늦추다
muscle,근육|힘|근력
text,텍스트|문자|교과서
doctor,의사|박사|수정하다
calendar,달력|일정|력
film,영화|필름|막
magazine,잡지|탄창|저장고
harvest,수확|수확하다|결과
now,지금|현재|이제
specific,특정한|구체적인|명확한
fee,요금|수수료|보상
accent,억양|강조|사투리