suffice,충분하다
deal,거래|처리하다|많은
have,가지다|있다|경험하다
scheme,계획|계략|음모
agriculture,농업|농사|농학
component,구성요소|부품|성분
animal,동물|야생의|짐승
supply,공급하다|공급|비축품
nod,끄덕이다|고개를 끄덕이다|동의
time,시간|때|횟수
passport,여권|통행증
filter,필터|여과하다|거르다
contend,주장하다|경쟁하다|싸우다
depart,출발하다|떠나다|사망하다
science,과학
professor,교수
custom,관습|맞춤|세관
pale,창백한|연한|희미한
straight,곧은|직선으로|정직한
place,장소|놓다|위치
plain,평원|단순한|명백한
music,음악|악보
exact,정확한|정밀한|요구하다
technology,기술|과학 기술
might,~할 수도 있다|힘|가능성
context,맥락|문맥|상황
detect,발견하다|탐지하다|감지하다
coach,코치|버스|지도하다
provide,제공하다|공급하다
move,움직이다|이사하다|감동시키다
bang,쾅|강타|폭발음
lazy,게으른|느린|나태한
embrace,포옹하다|받아들이다|포함하다
pin,핀|꽂다|고정하다
devise,고안하다|발명하다|유언하다
escape,도망치다|피하다|탈출
constant,지속적인|상수|일정한
truth,진실|사실
cap,모자|뚜껑|한도
insist,주장하다|고집하다|강요하다