so,그래서|매우|정말
plant,식물|심다|공장
random,무작위의|임의의
gentleman,신사|남자|귀족
regulate,규제하다|조절하다|통제하다
needle,바늘|침
shut,닫다|잠그다
north,북쪽|북부|북쪽으로
lane,차선|길|통로
induce,유도하다|일으키다|설득하다
suicide,자살
loss,손실|상실|패배
stove,난로|스토브
portion,일부|부분|몫
fulfil,성취하다|이행하다|만족시키다
dignity,존엄|위엄|품위
stain,얼룩|더럽히다|오점
spit,침을 뱉다
resign,사임하다|체념하다
custody,양육권|감금|보호
comfort,위로|편안함|위로하다
update,갱신하다|최신 정보
sand,모래
wait,기다리다
zoo,동물원
for,~을 위해|~동안|~에 대해서
fashion,패션|유행|방식
complain,불평하다|항의하다|신고하다
arrow,화살|화살표|방향
foot,발|피트|기초
bird,새|조류|사람
prompt,신속한|촉발하다|프롬프트
extent,정도|범위|한도
soap,비누
yet,아직|그러나|벌써
but,하지만|~외에|단지
sentiment,감정|정서|정서적인 태도
donate,기부하다|기증하다
kind,친절한|종류|다정한
refrigerate,냉장하다