sleep,자다|잠
trend,경향|추세|유행
snack,간식
ideology,이데올로기|사상|관념
villa,별장|빌라
beard,수염|턱수염|턱
station,역|정거장|방송국
relax,긴장을 풀다|쉬다
remove,제거하다|없애다|옮기다
rich,부유한|풍부한|농후한
alright,괜찮은|좋은|그래
report,보고서|보도|보고하다
fascinate,매혹하다|흥미를 끌다|매혹시키다
subscribe,구독하다|기부하다
energy,에너지|활력|정력
vivid,생생한|선명한
dimension,차원|크기|측면
into,~안으로|~로|~에
audience,청중|관객|독자
circle,원|동그라미|순환하다
declare,선언하다|신고하다|표명하다
dread,두려워하다|공포|무서워하다
concern,걱정|관심사|우려
tin,주석|양철통
sin,죄|죄를 짓다
peace,평화|평온|조용함
privilege,특권|특혜
rebel,반역자|반란을 일으키다
yell,소리치다|외치다
pregnant,임신한
remedy,치료법|해결책|치료하다
hazard,위험|위험물|모험
boundary,경계|한계|구분선
attach,붙이다|첨부하다|애착을 갖다
flexible,유연한|융통성 있는|구부러지는
unite,연합하다|결합하다
engineer,기술자|엔지니어|설계하다
orchestra,오케스트라|관현악단
depress,우울하게 하다|억압하다|가라앉히다
confuse,혼란스럽게 하다|혼동하다|당황하게 하다