paint,그리다|페인트|화장하다
odd,이상한|홀수의|가끔
homework,숙제|과제|준비
designate,지정하다|임명하다|표시하다
screw,나사|나사로 조이다
ingredient,재료|성분|요소
smooth,매끄러운|순조로운|부드럽게 하다
visible,보이는|가시적인
possible,가능한
tape,테이프|녹화하다
heel,뒤꿈치|굽|따르다
bottom,바닥|하단|기초
victim,희생자|피해자
temple,사원|절|관자놀이
pay,지불하다|급여|가치가 있다
reject,거절하다|거부하다|각하하다
primitive,원시적인|옛날의
stamp,우표|도장|발을 구르다
electronic,전자의|전자
damp,축축한|습기|기운을 꺾다
hair,머리카락|털|모발
exceed,초과하다|넘어서다|능가하다
fuel,연료|촉진하다|에너지
drown,익사하다|물에 잠기다|압도하다
month,달|월|한 달
shave,면도하다
record,기록|기록하다|음반
wipe,닦다|지우다
vice,악|부도덕|부의
opera,오페라|가극
wicked,사악한|짓궂은
contrast,대조|대비|대조하다
argue,논쟁하다|주장하다|말다툼하다
become,~이 되다|어울리다|변하다
festival,축제|페스티벌|연례 행사
huge,거대한|엄청난|방대한
ally,동맹국|동료|연합하다
sock,양말
laundry,세탁물|세탁소|빨래
you,당신|너희들