elite,엘리트|상류층|정예
wire,철사|전선|도청하다
network,네트워크|망|인맥
sorry,미안한|유감스러운
life,생명|인생|생활
fame,명성|유명|평판
cruel,잔인한|가혹한|심한
grasp,잡다|이해하다|파악하다
sport,스포츠|운동
magnificent,장엄한|훌륭한|웅장한
hierarchy,계층|계급제|체계
avoid,피하다|회피하다|방지하다
geology,지질학|지질|지구과학
increase,증가하다|늘리다|상승
both,둘 다|양쪽|~와 ~모두
clinic,진료소|클리닉|병원
generate,생성하다|만들다|발생시키다
fundamental,기본적인|근본적인|핵심적인
vocabulary,어휘|단어
tunnel,터널
lack,부족|없다|결핍
suspend,매달다|중단하다|정학시키다
weight,무게|체중|중요성
melt,녹다|녹이다|사라지다
poem,시
mark,표시|점수|기념하다
emotion,감정|감동|감정적
male,남성의|수컷의|남자
front,앞|전면|정면
sacred,신성한|성스러운
policy,정책|방침
soft,부드러운|연한|온화한
geography,지리학|지리|지형
bear,곰|참다|낳다
fail,실패하다|낙제하다|부족하다
craze,열풍|광기|열광
way,길|방법|방식
dust,먼지|먼지를 털다
copy,복사하다|사본|모방하다
prefer,선호하다|더 좋아하다