cable,케이블|전보
farm,농장|농사|경작하다
triangle,삼각형
engage,약혼하다|종사하다|참여하다
line,선|줄|라인
to,~에게|~로|~까지
stretch,늘리다|뻗다|범위
upward,위쪽으로|상승하는
pinch,꼬집다|꼬집음
transfer,이동하다|전근|전학
weak,약한|취약한
treat,다루다|치료하다|대접
smash,박살 내다|충돌|강타
compel,강요하다|억지로 시키다|강제하다
robot,로봇
system,시스템|체계|제도
brief,간단한|요약|브리핑하다
whether,~인지 아닌지
food,음식|식량|먹이
may,~할 수도 있다|5월|허가
corporate,기업의|법인의|단체의
carrot,당근|유인책
censor,검열관|검열하다|비판하다
income,소득|수입|수익
counterpart,상대방|대응물|상대
ugly,못생긴|추한|불쾌한
strawberry,딸기
hug,포옹하다|안아주다|껴안다
kitchen,부엌|주방|요리
database,데이터베이스|자료|데이터
format,형식|포맷|체제
split,쪼개다|분할하다|분열
center,중심|센터|집중시키다
period,기간|시대
doubt,의심|의심하다|불확실함
beer,맥주|비어
camp,캠프|야영지|진영
air,공기|하늘|방송하다
against,반대하여|대항하여|기대어
fiction,소설|허구|창작물