bless,축복하다|은혜를 베풀다|행운을 빌다
role,역할|배역
costume,의상|복장|코스튬
sweat,땀|땀 흘리다
flood,홍수|범람|쏟아지다
husband,남편|배우자|관리하다
fog,안개|흐릿하게 하다|혼란
blame,비난하다|책임을 지우다|탓하다
grocery,식료품|식료품점|잡화
reserve,예약하다|보존하다|비축
bomb,폭탄|폭파하다|실패하다
imperial,제국의|황제의|거대한
outstanding,뛰어난|미결제의|눈에 띄는
cliff,절벽|벼랑|낭떠러지
throat,목구멍|목
morning,아침|오전|새벽
customer,고객|손님|구매자
satellite,위성|인공위성
dump,버리다|던지다|폐기장
leg,다리|구간
temperature,온도|기온
smoke,연기|흡연|흡연하다
sensible,현명한|분별 있는|실용적인
finance,금융|재정|자금을 조달하다
pen,펜|우리
label,라벨|표시하다|분류하다
recent,최근의
library,도서관|서재|라이브러리
horse,말|기마
provoke,유발하다|화나게 하다|자극하다
load,짐|부하|적재하다
industry,산업|업계|근면
smart,똑똑한|세련된|현명한
lesson,수업|교훈|과
situate,위치시키다|놓다
educate,교육하다|가르치다|양성하다
institute,기관|연구소|제정하다
happy,행복한|기쁜|만족한
mystery,신비|미스터리|수수께끼
polish,닦다|폴란드의|광택