dry,마른|건조한|말리다
glove,장갑|글러브|보호장비
sure,확신하는|확실한|물론
butcher,정육점|도살업자|학살하다
college,대학|칼리지|학원
grade,등급|학년|점수
develop,발전시키다|개발하다|현상하다
fight,싸움|전투|투쟁하다
negate,부정하다|무효화하다|반대하다
overlap,겹치다|중복|겹치는 부분
hour,시간|시
theater,극장|영화관
stable,안정된|마구간
tune,곡조|조율하다|맞추다
federal,연방의|정부의|중앙의
loud,큰 소리의|시끄러운|강한
wit,재치|기지
injure,상처를 입히다|해치다|손상시키다
unless,~하지 않는다면
pick,고르다|따다|선택하다
theory,이론|학설
furthermore,더욱이|게다가|또한
tiger,호랑이
awkward,어색한|서툰|불편한
rail,철도|난간|레일
fine,좋은|벌금|미세한
chart,차트|도표|차트를 만들다
outrage,분노|폭행|격분
many,많은|많이|다수의
passage,통로|구절|여행
until,~까지
abroad,해외에|외국에|넓게
favorite,가장 좋아하는|인기 있는|선호하는
grow,자라다|성장하다|재배하다
request,요청|부탁|요청하다
recommend,추천하다|권고하다
commerce,상업|무역|거래
base,기초|기지|바닥
merchant,상인|무역상
team,팀|단체