knight,기사|나이트|기사 작위를 주다
protest,항의|시위|반대하다
grief,슬픔|고통|비탄
pollute,오염시키다|더럽히다|타락시키다
point,점|지적하다|요점
pill,알약|정
rope,밧줄|줄
know,알다|인식하다|경험하다
purpose,목적|용도|의도
if,만약|~라면|~인지
hunt,사냥하다|찾다|추적하다
graduate,졸업하다|졸업생|학위를 받다
flat,평평한|아파트|단조로운
chronic,만성의|지속적인|심각한
breeze,산들바람|미풍|쉽게 해내다
beneath,~아래에|~밑에|~보다 못한
jam,잼|교통체증|막히다
interior,내부|실내|국내의
bill,계산서|지폐|법안
find,찾다|발견하다|느끼다
trunk,트렁크|몸통|코끼리 코
apple,사과|사과나무|사과색
with,~와 함께|~을 가지고
scissors,가위
adequate,적절한|충분한|만족스러운
drink,마시다|음료|술
restaurant,식당|레스토랑
current,현재의|전류|흐름
dispute,논쟁|분쟁|의문을 제기하다
similar,유사한|비슷한
private,사적인|개인의|비밀의
talk,말하다|이야기하다|대화
die,죽다|소멸하다|사라지다
cream,크림|크림색|최고의
as,~로서|~때문에|~만큼
vital,필수적인|활력 있는
shine,빛나다|광을 내다
wall,벽|담
column,기둥|칼럼|열
mountain,산|산맥|거대한