tense,긴장한|시제
peer,동료|뚫어지게 보다|동등한 사람
credible,믿을 만한|신뢰할 수 있는|그럴듯한
superior,우월한|상사|더 나은
mobile,이동하는|모바일|휴대폰
investigate,조사하다|수사하다|연구하다
except,~을 제외하고|~외에는|~이 아닌
juice,주스|즙|전력
persuade,설득하다|납득시키다|확신시키다
exist,존재하다|생존하다|실제로 있다
toe,발가락
weekend,주말
confess,고백하다|인정하다|신앙고백하다
weigh,무게가 나가다|숙고하다
complex,복잡한|복합체|콤플렉스
agenda,의제|일정|계획
drum,드럼|북|드럼을 치다
single,하나의|독신의|단 하나의
ministry,부|성직
jump,뛰다|점프|급상승
fortunate,운이 좋은|다행스러운|행운의
allocate,할당하다|배정하다|분배하다
curriculum,교육과정|커리큘럼|교과과정
desperate,절망적인|필사적인|심각한
venture,모험|모험하다|투기
observe,관찰하다|지키다|말하다
stack,쌓다|더미|굴뚝
across,가로질러|건너편에|전체에
recruit,모집하다|신입사원|신병
differ,다르다|의견이 다르다|차이를 보이다
internet,인터넷|네트워크|온라인
fasten,고정하다|매다|단단히 하다
trouble,문제|곤란|괴롭히다
rather,오히려|다소|차라리
excite,흥분시키다|자극하다|흥미를 끌다
lock,자물쇠|잠그다|고정하다
facility,시설|설비|편의
welcome,환영하다|환영
and,그리고|~와|~과
inform,알리다|정보를 주다|신고하다