overhead,머리 위의|간접비|상공
heritage,유산|전통|상속재산
fancy,화려한|상상하다|호화로운
democrat,민주주의자|민주당원
prohibit,금지하다|막다
auction,경매|옥션|경매하다
democracy,민주주의|민주정치|민주국가
three,셋
prior,이전의|사전의|우선하는
prison,감옥|교도소
crash,충돌하다|붕괴하다|추락
five,다섯|5
stare,응시하다|빤히 쳐다보다
sequence,순서|연속|결과
terminal,터미널|종점|말기의
village,마을|촌락
terrific,굉장한|훌륭한
perfect,완벽한|완전한|완성하다
trust,신뢰|믿음|신뢰하다
beat,때리다|이기다|박자
believe,믿다|생각하다|신뢰하다
sink,가라앉다|싱크대
pretend,가장하다|~인 체하다
revive,회복시키다|되살아나게 하다|소생시키다
naive,순진한|천진난만한|경험이 없는
patch,덧댐|패치|고치다
coordinate,조정하다|좌표|조화시키다
awe,경외|두려움|경탄
proud,자랑스러운|거만한
metropolitan,대도시의|수도권의|메트로폴리탄
approximate,대략적인|근사한|비슷한
aesthetic,미학적|예술적|아름다운
seal,봉인하다|도장|물개
internal,내부의|국내의|정신적인
cat,고양이|야옹이|고양이과 동물
twist,꼬다|비틀다|반전
bath,목욕|욕조|목욕하다
basis,기초|근거|기본
surprise,놀라게 하다|놀람|뜻밖의 일
here,여기|이곳|지금