thick,두꺼운|짙은|빽빽한
about,대략|에 관하여|주변에
before,~전에|~앞에|이전에
executive,경영진|집행하는|관리직
fair,공정한|박람회
mass,질량|대량|미사
altogether,전체적으로|완전히|모두 합쳐서
travel,여행하다|여행
shallow,얕은|피상적인
age,나이|시대|노화하다
tire,지치게 하다|타이어
blink,깜빡이다|반짝이다|무시하다
rush,서두르다|돌진하다|돌격
brave,용감한|대담한|용감하게 맞서다
mood,기분|분위기|어조
business,사업|일|상점
distort,왜곡하다|비틀다|곡해하다
spare,여분의|예비의|할애하다
abuse,남용하다|학대하다|욕설
park,공원|주차하다
canvas,캔버스|천|유화
practice,연습|실행|관습
carpet,카펫|양탄자|덮다
piano,피아노
toast,토스트|건배|굽다
blow,불다|타격|폭발
top,꼭대기|최고|덮개
taxi,택시
wear,입다|닳게 하다
blanket,담요|이불|포괄적인
undermine,약화시키다|훼손하다
plenty,풍부한|많은|충분히
she,그녀는
target,목표|대상|겨냥하다
phenomenon,현상|사건|놀라운 일
accurate,정확한|정밀한|정확무오한
wrong,틀린|잘못된|부정
panic,공황|당황|공포
tail,꼬리|후미
however,하지만|그러나|어떻게든