trip,여행|발을 헛디디다|걸려 넘어지게 하다
academy,학원|아카데미|학회
lunch,점심|점심식사
champion,챔피언|옹호자|우승자
disc,디스크|원반
floor,바닥|층|마루
nasty,못된|더러운|심각한
precise,정확한|정밀한
scream,비명을 지르다|비명
victory,승리
intellect,지성|지능|지식인
wind,바람|감다
timber,목재|수목
destruct,파괴하다|파멸시키다
tag,꼬리표|태그|꼬리표를 붙이다
once,한 번|일단|옛날에
overlook,간과하다|내려다보다|무시하다
isolate,고립시키다|분리하다|격리하다
anniversary,기념일|주년|기념
decline,거절하다|쇠퇴|기울어지다
intrigue,음모|흥미를 끌다|음모를 꾸미다
pace,속도|걸음|보조를 맞추다
bottle,병|유리병|병에 담다
background,배경|경력|출신
child,아이|자식|어린이
rational,합리적인|이성적인
cheese,치즈|치즈를 만들다
influence,영향|영향을 주다|세력
boss,상사|보스|지배하다
spaghetti,스파게티
microphone,마이크|마이크로폰
astonish,놀라게 하다|경탄시키다|당황하게 하다
sneak,몰래 가다|살금살금 움직이다
spring,봄|용수철|튀어 오르다
manifest,명백한|나타내다|명시하다
lump,덩어리|혹|전체
general,일반적인|장군|총괄적인
map,지도|계획하다
toxic,유독성의|독성의
abound,풍부하다|많다|가득하다