coast,해안|연안|해안을 따라 가다
six,여섯
explicit,명확한|노골적인|분명한
preserve,보존하다|지키다|보호하다
uncle,삼촌|숙부
aspire,열망하다|지향하다|목표로 하다
tease,놀리다|괴롭히다
receipt,영수증|수령
hat,모자|직책
immune,면역의|면제된|보호된
assign,할당하다|지정하다|과제를 주다
account,계정|계좌|설명
supervise,감독하다|관리하다
moreover,더욱이|게다가|또한
polite,예의바른|정중한|세련된
there,거기에|저기에
knock,두드리다|노크|충돌
experiment,실험|시도하다
nine,아홉|9
particle,입자|분자|조금
mechanic,기계공|메카닉|기계적인
verb,동사
protect,보호하다|지키다
fond,좋아하는|애정이 있는|순진한
corrupt,부패한|타락시키다|손상시키다
chair,의자|의장|의장직
companion,동반자|친구|책
aim,목표|조준하다|의도하다
opportune,적절한|시기적절한|유리한
worth,가치|가치 있는
swing,흔들리다|그네|변동
rate,비율|속도|평가하다
friend,친구|동료|지지자
sky,하늘
consist,구성되다|일치하다|~로 이루어지다
eliminate,제거하다|없애다|탈락시키다
scatter,흩뿌리다|분산시키다
danger,위험|위험한
several,몇몇의|여러
mayor,시장|마이어