a,하나|한 개|어떤
conserve,보존하다|절약하다|보호하다
furnish,가구를 비치하다|제공하다|장식하다
remember,기억하다|상기하다
gum,껌|잇몸|고무
avail,이용하다|도움이 되다|효과
car,자동차|차|열차
ground,땅|지면|근거
god,신|하나님
cell,세포|감옥|전지
mail,우편|메일|우송하다
steam,증기|김|찌다
judge,판사|판단하다|심사위원
caution,주의|경고|신중함
care,돌보다|관심|걱정
steak,스테이크
interfere,간섭하다|방해하다|개입하다
son,아들
disgust,혐오|역겨움|싫어하다
principal,주요한|교장|원금
please,제발|기쁘게 하다|만족시키다
physics,물리학|물리
laser,레이저|광선
cheer,응원하다|환호|기쁨
detail,세부사항|상세히|자세히
separate,분리하다|별개의|분리된
coin,동전|화폐|새로 만들다
severe,심각한|엄격한|혹독한
grand,웅장한|훌륭한|주요한
amaze,놀라게 하다|경탄시키다|당황하게 하다
wonder,궁금해하다|경이
accommodate,수용하다|숙박시키다|적응시키다
bother,괴롭히다|걱정하다|신경쓰다
adult,성인|어른|성숙한
website,웹사이트
future,미래|향후|장래의
flame,불꽃|화염|타오르다
politics,정치|정치학
loan,대출|빌려주다|대여
command,명령|지휘하다|명령하다