over,~위에|~에 걸쳐|끝난
burst,터지다|폭발|갑작스러운
bond,유대|채권|결합하다
sympathy,동정|공감
delete,삭제하다|지우다|제거하다
speed,속도|급히 가다
bone,뼈|해골|뼈를 제거하다
ambassador,대사|사절|대표
apology,사과|변명|변론
resolve,해결하다|결심하다|결의
message,메시지|전언|의미
concept,개념|관념|아이디어
force,힘|강요하다|군대
grandfather,할아버지|조부|선조
organ,기관|오르간|장기
wave,파도|흔들다|파장
assert,주장하다|단언하다|확실히 하다
adjust,조정하다|적응하다|맞추다
tragic,비극적인|참혹한
must,~해야 한다|반드시|필수
council,의회|위원회|협의회
country,나라|시골|국가
excess,초과|과도한|여분
frost,서리|동결
accident,사고|우연|실수
result,결과|초래하다
glue,접착제|풀|붙이다
coat,코트|외투|덮다
honor,명예|영광|존경하다
vacuum,진공|청소기
fade,사라지다|바래다|약해지다
index,색인|지수|가리키다
bind,묶다|결속시키다|제본하다
figure,숫자|모습|인물
share,공유하다|몫|나누다
overall,전체적인|종합적인|전체
behind,뒤에|~뒤에|늦어서
soon,곧|빨리
affair,일|사건|연애
export,수출하다|수출|수출품