obvious,명백한|분명한|뻔한
value,가치|값|소중히 하다
horizon,수평선|지평선|전망
attack,공격하다|습격하다|비난하다
army,군대|대군|조직
advance,진보|전진하다|선불
wake,깨우다|깨어나다
date,날짜|데이트|대추야자
owe,빚지다|~덕분이다|의무가 있다
bin,통|상자|쓰레기통
port,항구|항만|피난처
ethic,윤리|도덕|윤리학
evaluate,평가하다|산정하다|검토하다
modern,현대의|모던|최신의
third,세 번째의|삼분의 일
wheat,밀|소맥
afternoon,오후|낮|점심 후
acquire,획득하다|얻다|습득하다
symbol,상징|기호
ticket,티켓|표|벌금 통지서
stage,무대|단계|상연하다
watch,보다|시계|지켜보다
marvel,경이|놀라다|경탄하다
livingroom,거실|응접실
section,부분|구획|절단
bed,침대|침상|화단
clip,클립|자르다|꽂다
pilot,조종사|파일럿|시범
facilitate,촉진하다|용이하게 하다|도움을 주다
convene,소집하다|회의하다|모이다
neither,어느 쪽도 아닌|~도 ~도 아닌|그렇지도 않다
chip,칩|조각|깨뜨리다
first,첫 번째|처음|우선
tackle,다루다|태클하다|도구
terrible,끔찍한|형편없는
past,과거|지나간|지나서
oven,오븐|화덕
perspective,관점|시각|원근법
combine,결합하다|합치다|연합하다
enough,충분한|충분히