gene,유전자|유전인자|기원
rub,문지르다|비비다|마찰
asleep,잠든|수면중인|마비된
helicopter,헬리콥터|헬기
invest,투자하다|조사하다|쏟다
ease,쉬움|편안함|완화하다
soil,흙|토양|더럽히다
mask,가면|마스크|가리다
then,그때|그리고 나서|그러면
quality,질|품질|특성
neglect,무시하다|방치하다|소홀히 하다
mutual,상호의|공통의|서로의
size,크기|사이즈
aside,옆으로|제쳐두고|별도로
decide,결정하다|결심하다|판결하다
magic,마법|마술|신비로운
preach,설교하다|전도하다
blind,눈먼|맹목적인|블라인드
save,구하다|저축하다|절약하다
define,정의하다|명확히 하다|규정하다
abandon,포기하다|버리다|유기하다
diet,식단|다이어트|의회
medal,메달|훈장
beam,빔|대들보|미소
noon,정오|한낮
blonde,금발의|금발 여성|금발
vigor,활력|정력
picnic,피크닉|소풍
labor,노동|일하다|분만
flee,도망치다|피하다|사라지다
river,강
debate,토론|논쟁|토론하다
inspect,검사하다|조사하다|점검하다
brilliant,훌륭한|빛나는|똑똑한
indeed,정말로|실제로|확실히
administer,관리하다|집행하다|투여하다
no,아니오|없는|금지
infect,감염시키다|전염시키다|오염시키다
pretty,예쁜|꽤|상당히
advantage,장점|이익|유리함