prominent,눈에 띄는|저명한|돌출된
money,돈|자금|화폐
neck,목|목 부분
flag,깃발|플래그|신호
troop,군대|무리
deliberate,의도적인|신중한|심의하다
mortal,죽을|치명적인|인간의
relieve,경감하다|완화시키다|안심시키다
stand,서다|참다|입장
half,절반|하프|부분적으로
imitate,모방하다|따라하다|흉내내다
resemble,닮다|유사하다
helmet,헬멧|투구|보호모
arise,일어나다|생기다|기원하다
survive,생존하다|살아남다
found,설립하다|기반을 두다|발견하다
express,표현하다|빠른
devote,헌신하다|바치다|전념하다
blood,피|혈액|혈통
represent,대표하다|나타내다|대신하다
thirteen,열셋
rainbow,무지개
company,회사|동료|손님
spend,쓰다|소비하다|보내다
kit,키트|도구|세트
embarrass,당황하게 하다|부끄럽게 하다|곤란하게 하다
restrict,제한하다|규제하다
benefit,이익|혜택|도움이 되다
attribute,속성|특성|~때문이라고 하다
belong,속하다|소유하다|어울리다
noise,소음|소리|소란
thus,그러므로|따라서|이렇게
ruin,망치다|파괴하다|폐허
gift,선물|재능|기부
version,버전|판|형태
correspond,일치하다|통신하다|대응하다
prospect,전망|가능성|예상하다
sculpt,조각하다
silly,어리석은|바보 같은
cheap,싼|값싼|품질이 나쁜