circulate,순환하다|유통시키다|돌다
great,훌륭한|큰|위대한
determine,결정하다|확인하다|결심하다
set,놓다|정하다|한 벌
okay,괜찮은|좋은|승인
tenant,세입자|임차인
rabbit,토끼
story,이야기|층
discourse,담론|강연|대화
reply,대답하다|응답하다|답장
harsh,가혹한|거친|심한
hike,등산하다|하이킹|인상
party,파티|정당|당사자
short,짧은|부족한|단편
word,단어|말
behalf,대신|이익|위해
absent,부재의|결석한|없는
design,디자인|설계하다|의도
bloom,꽃이 피다|개화|번영하다
detach,분리하다|떼어내다|독립시키다
warn,경고하다|주의를 주다
salad,샐러드
volunteer,자원봉사자|자원하다
depict,그리다|묘사하다|표현하다
offend,화나게 하다|모독하다|위반하다
bubble,거품|버블|거품이 일다
chop,자르다|도마질하다|도끼질
category,범주|분류|부류
temporary,일시적인|임시의
bold,대담한|굵은|뻔뻔한
such,그러한|매우|~와 같은
destine,운명지어지다|정해지다|지정되다
will,~할 것이다|의지|유언
church,교회|성당|종교
league,리그|연맹|동맹
forest,숲|삼림|대량
orient,동쪽|지향하다|적응시키다
want,원하다|필요로 하다
cultivate,재배하다|기르다|개발하다
secret,비밀|비밀의