infant,유아|아기|초기의
control,통제하다|조절하다|지배
overnight,하룻밤|밤새|갑자기
decent,점잖은|적당한|괜찮은
partner,파트너|동반자|배우자
belief,믿음|신념|종교
estimate,추정하다|평가하다|견적
diary,일기|다이어리|일기장
rain,비|비가 오다
crew,승무원|팀|일꾼
familiar,친숙한|익숙한|친한
cousin,사촌|친척|동류
good,좋은|선한|유능한
explode,폭발하다|터지다|급증하다
sheep,양
delay,지연|늦추다|연기하다
contradict,모순되다|반박하다|부정하다
shoulder,어깨|짊어지다
crack,균열|깨뜨리다|최고의
twenty,스물
nevertheless,그럼에도 불구하고|하지만|그러나
permit,허가하다|허용하다|허가증
reinforce,강화하다|보강하다
new,새로운|신선한|최신의
perhaps,아마도|어쩌면|혹시
sack,자루|해고하다|약탈
tower,탑
interrupt,방해하다|중단시키다|가로막다
sister,자매|누나|여동생
adapt,적응하다|각색하다|조정하다
remark,발언|말하다|주목
warehouse,창고
coincide,일치하다|동시에 일어나다|겹치다
faith,신앙|믿음|신뢰
act,행동하다|연기하다|법령
autumn,가을|추수기|성숙기
tempt,유혹하다|꾀다
seat,자리|좌석|앉히다
look,보다|보기|외모
prejudice,편견|선입견