twice,두 번|두 배로
initial,초기의|이니셜|첫
republic,공화국
whole,전체의|전부|완전한
welfare,복지|후생
serve,제공하다|봉사하다|근무하다
sound,소리|건전한|~처럼 들리다
fear,두려움|걱정|무서워하다
various,다양한|여러 가지의
right,옳은|오른쪽|권리
rock,바위|암석|흔들다
group,그룹|집단|분류하다
evidence,증거|흔적|증명하다
pair,한 쌍|짝|결합시키다
produce,생산하다|만들다|농산물
title,제목|칭호|자격
promote,촉진하다|승진시키다|홍보하다
clear,명확한|깨끗한|명백한
hook,갈고리|후크|걸다
work,일하다|작동하다|일
pepper,후추|고추
enormous,거대한|엄청난|방대한
sophisticate,세련되게 하다|복잡하게 만들다|세련된 사람
capable,능력이 있는|할 수 있는|유능한
spill,엎지르다|쏟아지다|유출
view,시야|관점|바라보다
though,~일지라도|그러나
thirst,갈증|목마름|열망
city,도시|시|도시의
woman,여성|여자
lid,뚜껑|눈꺼풀|제한
swear,맹세하다|욕하다
soldier,군인
example,예|모범|예시
row,줄|열|노 젓다
corn,옥수수|곡물|굳은살
monster,괴물|몬스터|거대한
tooth,이|치아
fiber,섬유|식이섬유|광섬유
edit,편집하다|수정하다