sore,아픈|쓰린|통증
potato,감자
budget,예산|예산을 세우다|저렴한
conflict,갈등|충돌|전쟁
humor,유머|재미|기분
broadcast,방송하다|전파하다|방송
tick,똑딱 소리|진드기|표시하다
fish,물고기|낚시하다|찾다
movie,영화|무비
essay,에세이|논문|시도하다
family,가족|가정|일가
jaw,턱|입|이야기하다
menu,메뉴|식단|목록
it,그것|그
optimist,낙관주의자|낙관론자|낙관적인
lawn,잔디|잔디밭|정원
insight,통찰력|이해|깨달음
rose,장미|일어나다
seek,찾다|추구하다|구하다
peel,껍질|벗기다
dress,옷|입히다|드레스
valid,유효한|타당한
wander,헤매다|방황하다
summer,여름
retail,소매|소매로 팔다
finish,끝내다|완성하다|마무리
member,회원|구성원|지체
collar,칼라|목걸이|잡다
accord,일치|협정|화음
invite,초대하다|유도하다|부르다
vegetable,채소|야채
throw,던지다|내던지다
missile,미사일|로켓|투사체
or,또는|~이거나|그렇지 않으면
destiny,운명|숙명|미래
fun,재미|즐거움|장난
ocean,바다|대양|해양
adverse,불리한|반대의|해로운
sugar,설탕
regret,후회하다|유감