culture,문화|교양|배양
jail,감옥|수감하다|교도소
chat,대화하다|수다|잡담
he,그|그는|남자
book,책|예약하다|기록하다
celebrity,유명인|명성|유명한 사람
hole,구멍|곤경
clay,점토|진흙|흙
boil,끓이다|삶다|분노하다
restroom,화장실|휴게실
mental,정신의|마음의|정신과의
substance,물질|본질|실체
bare,벌거벗은|노출된|가진 것이 없는
strategy,전략|계획
triumph,승리|대성공
appreciate,감사하다|감상하다|인정하다
cooperate,협력하다|협조하다|공동작업하다
human,인간의|사람|인간
excel,뛰어나다|우수하다|압도하다
certain,확실한|어떤|특정한
engine,엔진|기관|기계
among,~중에|~사이에|~가운데
enterprise,기업|사업|기업가정신
rural,시골의|지방의
stick,막대기|찌르다|붙이다
band,밴드|띠|그룹
opt,선택하다|선호하다|결정하다
article,기사|물건|조항
job,일|직업|일자리
moment,순간|시간|중요한
simulate,모의실험하다|흉내 내다
agree,동의하다|합의하다|일치하다
efficient,효율적인|능률적인|유능한
narrate,이야기하다|서술하다|내레이션하다
cow,소|암소|위협하다
clock,시계|시간|측정하다
tear,찢다|눈물
achieve,달성하다|성취하다|이루다
populate,거주시키다|살다|채우다
float,떠다니다|부유하다|유동