nerve,신경|용기|뻔뻔함
monkey,원숭이|장난꾸러기
box,상자|박스|권투하다
cute,귀여운|예쁜|똑똑한
pity,동정|유감|가엾게 여기다
medical,의학의|의료의|의료
appoint,임명하다|약속하다|지정하다
immense,거대한|엄청난|무한한
trim,다듬다|장식|날씬한
island,섬|아일랜드|고립된 곳
mathematics,수학
sociology,사회학
undergo,겪다|경험하다
height,높이|키|고도
give,주다|제공하다|포기하다
cape,곶|케이프|망토
trigger,방아쇠|촉발시키다
intend,의도하다|계획하다|작정하다
pants,바지|팬츠|속옷
touch,만지다|닿다|감동시키다
giraffe,기린|목이 긴
diverse,다양한|다른|다양성
track,트랙|발자국|추적하다
extraordinary,비범한|특별한|놀라운
sum,합계|총액|요약하다
brick,벽돌|벽돌로 만들다
break,부수다|휴식|깨뜨리다
grain,곡물|알갱이|목재의 결
without,~없이
splash,튀기다|튀김|얼룩
dish,접시|요리|그릇
ambition,야망|포부|원대한 계획
store,가게|저장하다|비축
release,석방하다|방출하다|개봉
oak,참나무|오크
although,비록|~임에도 불구하고|~하지만
fur,털|모피|가죽
flock,무리|떼|모이다
pronounce,발음하다|선언하다
address,주소|연설하다|처리하다