we,우리
myth,신화|전설|허구
try,노력하다|시도하다|재판하다
involve,포함하다|관련시키다|연루시키다
assure,확신시키다|보장하다|안심시키다
drill,드릴|훈련|연습하다
chef,요리사|셰프|주방장
window,창문
use,사용하다|이용|용도
asset,자산|재산|장점
recipe,요리법|레시피
heaven,천국|하늘|낙원
suit,정장|적합하다|소송
conform,따르다|순응하다|일치하다
thread,실|가닥|줄기
habitat,서식지|생활환경|거주지
veterinarian,수의사
service,서비스|봉사|예배
search,찾다|검색하다|수색
crowd,군중|사람들|가득 채우다
former,이전의|전자의|과거의
characteristic,특징|특성|특유의
element,요소|원소|기본
yesterday,어제
respect,존경|존중|존중하다
father,아버지|신부|창시자
world,세상|세계
wool,양털|모직물
above,위에|이상|초과하여
hand,손|전달하다|도움
scan,스캔하다|훑어보다|정밀 검사
ring,반지|울리다|고리
shadow,그림자|미행하다
garage,차고|정비소|보관하다
pizza,피자
sea,바다
down,아래로|내려가다|우울한
tool,도구|연장
chemical,화학의|화학물질|화학제품
plate,접시|판|금속판