pour,붓다|따르다|쏟아지다
arrive,도착하다|이르다|성공하다
diabetes,당뇨병|당뇨
slave,노예
angle,각도|모서리|관점
machine,기계|자동
trap,함정|덫|가두다
diminish,줄어들다|감소시키다|축소하다
assist,도와주다|보조하다|참석하다
cookie,쿠키|과자
beef,소고기|쇠고기|불평
rent,임대하다|집세|임대료
too,너무|또한
display,전시하다|표시하다|화면
pool,수영장|풀|공동으로 하다
manner,방법|태도|예의
keen,예리한|열심인|날카로운
previous,이전의|앞선
posit,놓다|두다|가정하다
harm,해를 끼치다|손해|상처
cave,동굴|굴|무너지다
decrease,감소하다|줄이다|감소
hobby,취미|호비
every,모든|매|각
disaster,재해|재난|실패
inside,안쪽|내부|속에
weave,짜다|엮다
ball,공|볼|무도회
seem,보이다|~인 것 같다
scene,장면|현장|배경
pole,기둥|극|폴란드인
predict,예측하다|예견하다
scratch,긁다|할퀴다|긁힌 자국
compare,비교하다|대조하다|비유하다
blank,빈|공백|멍한
suppose,추정하다|가정하다|생각하다
concentrate,집중하다|농축하다|집중시키다
seven,일곱
survey,조사
wet,젖은|축축한|적시다