improve,개선하다|향상시키다|나아지다
therapy,치료|요법
sing,노래하다
gross,총|거친|심한
distinct,뚜렷한|구별되는|명확한
reason,이유|이성|추론하다
erase,지우다|삭제하다|제거하다
mate,동료|배우자|짝
sweep,쓸다|청소하다|휩쓸다
distinguish,구별하다|식별하다|차별하다
shelf,선반
people,사람들|국민|민족
enthusiastic,열정적인|열심인|열광적인
demonstrate,시위하다|증명하다|보여주다
wage,임금|급료
cool,시원한|차가운|멋진
salary,급여|봉급
legitimate,합법적인|정당한|정통의
tent,텐트|천막
push,밀다|추진하다|밀기
fabric,직물|천|구조
super,훌륭한|최고의
restrain,제지하다|억제하다|자제하다
pure,순수한|깨끗한|순전한
frustrate,좌절시키다|방해하다|실망시키다
dominate,지배하다|우세하다|압도하다
side,측면|쪽|편
schedule,일정|계획|일정을 짜다
gasoline,가솔린|휘발유|연료
crayon,크레용|크레파스|크레용으로 그리다
thin,얇은|마른|묽은
album,앨범|사진첩|음반
water,물|물을 주다
instant,즉시의|순간|인스턴트
imagine,상상하다|생각하다|추정하다
campaign,캠페인|선거운동|작전
brown,갈색의|갈색|갈색으로 만들다
nominate,지명하다|후보로 내다|임명하다
trade,무역|거래|교환하다
mix,섞다|혼합|믹스