compile,편집하다|컴파일하다|수집하다
chicken,닭|치킨|겁쟁이
during,~동안|~하는 동안
fresh,신선한|새로운|상쾌한
fire,불|화재|해고하다
master,주인|마스터|숙달하다
proceed,진행하다|나아가다
vision,시력|통찰력|비전
kiss,키스하다|키스|입맞춤
strain,부담|긴장|안간힘을 쓰다
evitable,피할 수 있는|회피 가능한
print,인쇄하다|출판하다|활자
locate,위치를 찾다|배치하다|설치하다
should,~해야 한다|~일 것이다
test,시험|테스트|시험하다
borrow,빌리다|차용하다|가져오다
few,몇 개의|적은|거의 없는
roast,굽다|볶다|구운 것
evening,저녁|오후
airplane,비행기|항공기|플레인
speak,말하다|이야기하다
milk,우유|젖|착유하다
fraction,분수|일부|소수
soup,수프
diplomat,외교관|외교
weed,잡초|잡초를 제거하다
chairman,의장|회장|주석
make,만들다|~하게 하다|제조하다
nation,국가|민족|국민
estate,재산|부동산|상태
annoy,짜증나게 하다|괴롭히다|방해하다
extract,추출하다|발췌하다|추출물
civil,시민의|민사|예의바른
raw,날것의|가공하지 않은|경험 없는
pursue,추구하다|쫓다|뒤쫓다
dictionary,사전|딕셔너리
than,~보다
poet,시인
mock,모의의|조롱하다|가짜의
wild,야생의|거친|자연 그대로의