erect,세우다|건립하다|곧은
emphasize,강조하다|중점을 두다
notice,알아채다|공지|주의
multiple,다중의|여러|배수
hundred,백|100|많은
numerous,많은|다수의|수많은
curtain,커튼|막|가리다
alter,변경하다|바꾸다|수정하다
prepare,준비하다|대비하다
tie,묶다|넥타이|동점
goat,염소|바보
insure,보험에 들다|보장하다|확실히 하다
spoon,숟가락
superb,최고의|훌륭한
architect,건축가|설계자|창조자
knowledge,지식|학식|인식
climate,기후|풍토|분위기
disrupt,방해하다|중단시키다|파괴하다
appeal,호소|항소|매력
aspect,측면|모습|관점
call,부르다|전화하다|호출
land,땅|착륙하다|국가
other,다른|그 외의
neutral,중립의|중성의|무색의
shock,충격|충격을 주다|전기 충격
challenge,도전|도전하다|이의를 제기하다
cross,십자가|건너가다|화나다
slight,약간의|경미한|무시하다
fool,바보|속이다|어리석은
exclude,제외하다|배제하다|차단하다
incentive,동기|유인책|장려금
evolve,진화하다|발전시키다|전개하다
cope,대처하다|처리하다|덮개
strong,강한|튼튼한|확고한
tongue,혀|언어
go,가다|진행하다|작동하다
poison,독|독살하다|오염시키다
click,클릭하다|딸깍소리|이해하다
butter,버터|버터를 바르다|아첨하다
mode,방식|모드|유행