anxious,불안한|걱정하는|열망하는
while,~하는 동안|반면에
wheel,바퀴|운전대
prey,먹이|희생|포획하다
always,항상|언제나|계속
breast,가슴|유방
abort,중단하다|낙태하다|유산하다
attend,참석하다|돌보다|주의하다
van,승합차|밴
versus,~대|~와 비교하여
history,역사|과거|기록
priest,성직자|신부|목사
impress,인상깊게 하다|감동시키다|압박하다
why,왜
remind,상기시키다|떠올리게 하다
king,왕|킹|최고의
employ,고용하다|사용하다|취업시키다
brain,뇌|지능|두뇌
occur,발생하다|일어나다|생각나다
fantastic,환상적인|훌륭한|기이한
spectrum,스펙트럼|범위
criterion,기준|판단기준|표준
snap,찰칵 소리 내다|끊어지다|스냅 사진
traffic,교통|통행
stomach,위|배
local,지역의|현지의|국소적인
symptom,증상|징후
device,장치|기기|방법
bake,굽다|구워지다|데우다
intimate,친밀한|내밀한|은밀한
mine,내 것|광산|지뢰
bacon,베이컨|돼지고기|훈제고기
show,보여주다|쇼|나타내다
boy,소년|아들|남자
listen,듣다|경청하다|들어보다
blue,파란|우울한|푸른
sun,태양
net,그물|순수한|네트
equip,장비하다|준비시키다|갖추다
fit,맞다|적합한|건강한