route,경로|노선
convince,설득하다|확신시키다|납득시키다
elevate,올리다|승진시키다|고양시키다
premium,고급의|할증금|보험료
dentist,치과의사|치과
topic,주제|화제
senior,선임의|선배|고학년
alongside,나란히|옆에
lawyer,변호사|법률가
habit,습관|버릇|복장
fan,팬|부채|선풍기
harmony,조화|화음|일치
leap,뛰다|도약|급증
crystal,수정|결정|투명한
anger,화|분노|격분
globe,지구|구체|지구본
hide,숨기다|숨다|가리다
divorce,이혼|분리하다|이혼하다
routine,일상적인|정례적인|일상
cough,기침|기침하다
square,사각형|정사각형|광장
light,빛|가벼운|밝은
occupy,점유하다|차지하다|바쁘게 하다
bench,벤치|판사석
knife,칼|나이프|자르다
lemon,레몬|레몬색
breath,숨|호흡|바람
suite,스위트룸|한 벌의 가구
raise,올리다|기르다|모으다
public,대중의|공공의|일반인
ago,전에|이전에|과거에
celebrate,축하하다|기념하다|찬양하다
spin,회전하다|돌리다|실을 잣다
catalogue,목록|카탈로그|목록을 만들다
orange,오렌지|주황색
number,숫자|번호|수
whisper,속삭이다|속삭임
military,군사의|군대|군인
fox,여우|교활한 사람|속이다
soul,영혼|정신|사람