focus,초점|집중하다|중심
prescribe,처방하다|규정하다
fright,공포|놀람|무서움
gorgeous,화려한|아름다운|훌륭한
exaggerate,과장하다|부풀리다
dip,담그다|기울이다|하락하다
spouse,배우자
real,진짜의|실제의|현실적인
ice,얼음|아이스
acknowledge,인정하다|감사하다|알아보다
crush,부수다|눌러뜨리다|호감
lap,무릎|한 바퀴|핥다
read,읽다|해독하다
miracle,기적|놀라운 일
framework,틀|기반|체계
queen,여왕
nonetheless,그럼에도 불구하고|하지만|그러나
winter,겨울
pack,꾸리다|팩|무리
accomplish,성취하다|완수하다|달성하다
fund,기금|자금|펀드
parallel,평행의|유사한|병렬의
reward,보상|보답하다
year,년|해
list,목록|나열하다|리스트
instead,대신에|오히려|그 대신
presume,추정하다|가정하다
build,건설하다|구축하다|체격
bee,벌|꿀벌|일벌
weird,이상한|기묘한
swift,신속한|재빠른
hold,잡다|개최하다|유지하다
obey,따르다|복종하다|지키다
punish,처벌하다|벌주다
term,용어|기간|조건
disturb,방해하다|교란시키다|불안하게 하다
incline,기울다|경향|경사
naked,벌거벗은|노출된|가공되지 않은
room,방|공간|여지
man,남자|사람|인간