parliament,의회|국회
forgive,용서하다|면제하다|포기하다
empire,제국
brush,솔|붓|솔질하다
mediate,중재하다|매개하다|중간의
cite,인용하다|언급하다|소환하다
refer,참조하다|언급하다|회부하다
high,높은|높이|상급의
puppy,강아지
edge,가장자리|날|우위
genuine,진짜의|진정한|순수한
resort,휴양지|의지하다|최후의 수단
factory,공장|제조소
shame,수치심|부끄러움|망신
slope,경사|비탈|기울어지다
chorus,합창|후렴|일제히 말하다
extinct,멸종된|사라진|소멸한
hurt,아프다|상처|해치다
stripe,줄무늬
decay,썩다|부패|쇠퇴
voice,목소리|의견
simple,간단한|단순한|소박한
bury,묻다|매장하다|숨기다
atom,원자|미소한 것|극소량
author,작가|저자|창시자
research,연구|조사|연구하다
forward,앞으로|전진하다|진보적인
nature,자연|본성|성질
scope,범위|영역|기회
convey,전달하다|운반하다|의미하다
freeze,얼다|동결하다|얼음
write,쓰다|적다
powder,가루|분말|파우더
hamburger,햄버거|고기 패티
corner,모서리|구석|코너
region,지역|지방|영역
occasion,기회|경우|행사
pattern,패턴|양식|무늬
manipulate,조작하다|조종하다|다루다
follow,따르다|따라가다|지키다