flip,뒤집다|튀기다|화나다
lone,혼자|외로운|단독의
any,어떤|아무|조금이라도
come,오다|도착하다|나타나다
gold,금|황금|금색
alcohol,알코올|술|에탄올
identity,정체성|신원|동일성
generous,관대한|풍부한|너그러운
journey,여행|여정|여행하다
fury,분노|격노|광풍
session,회의|기간|시간
career,경력|직업|진로
mind,마음|정신|신경쓰다
would,~일 것이다
assume,가정하다|맡다|차지하다
virgin,처녀|순결한|처음의
hear,듣다|들리다|소문을 듣다
drain,배수하다|고갈시키다|배수구
instinct,본능|직감|타고난
oblige,강요하다|의무를 지우다|도움을 주다
feed,먹이다|공급하다|사료
rest,휴식|나머지|쉬다
coupon,쿠폰|할인권|권표
ought,~해야 한다|~일 것이다|~해야 마땅하다
mouth,입|입구
undertake,착수하다|떠맡다|약속하다
bump,충돌|혹|부딪치다
navy,해군|네이비
area,지역|면적|분야
market,시장|마케팅|거래하다
banana,바나나|바나나나무|바나나색
describe,묘사하다|설명하다|그리다
slice,얇게 썰다|조각|부분
confine,제한하다|가두다|한정하다
convert,변환하다|개종시키다|바꾸다
somewhat,어느 정도|다소
hint,힌트|암시|조금
chase,쫓다|추격|추적
linguistic,언어학의|언어의|언어학
female,여성의|암컷의|여자