inhabit,거주하다|서식하다|살다
delicate,섬세한|연약한|정교한
frankly,솔직히|정직하게|공개적으로
ear,귀|이삭|청각
maybe,아마도|어쩌면|아마
breathe,숨쉬다|호흡하다|생기
potential,잠재적인|잠재력|가능성
merit,장점|가치|공로
wish,바라다|소원
compute,계산하다|컴퓨팅하다|산정하다
popular,인기 있는|대중적인
plastic,플라스틱|가소성의|인공적인
house,집|가옥|수용하다
gulf,만|골프|간격
self,자기|자신
boat,배|보트|배를 타다
log,통나무|기록|로그
neighbor,이웃|인접한
stream,흐름|시내|줄줄 흐르다
town,읍|도시
bread,빵|식량|생계
whistle,휘파람 불다|호각
seize,붙잡다|점령하다|압수하다
afraid,두려워하는|걱정하는|무서워하는
million,백만|100만|많은
dairy,유제품|낙농업|우유의
warm,따뜻한|데우다
maintain,유지하다|지지하다|주장하다
landscape,풍경|지형|조경
quiet,조용한|고요한|고요
meanwhile,한편|그 동안|동시에
bus,버스|대중교통|버스로 이동하다
guarantee,보장하다|보증|담보
door,문|출입구
task,과업|임무|일
flesh,살|육체|과육
brute,야수|짐승같은|무식한
east,동쪽|동부|동쪽으로
warrant,영장|보증하다|정당화하다
office,사무실|관공서|직책