need,필요하다|필요|궁핍
expertise,전문성|전문지식|숙련
drag,끌다|질질 끌다|지연시키다
emit,방출하다|내뿜다|발산하다
long,긴|오래|길이
thousand,천
century,세기|100년|백년
shade,그늘|색조|가리다
romantic,낭만적인|연애의
gallery,갤러리|회랑|미술관
art,예술|기술|교묘함
hope,희망|바라다|기대
battery,배터리|포대|폭행
mad,미친|화난|열광적인
still,아직도|여전히|조용한
curry,카레|카레를 만들다
thirty,서른
jury,배심원|심사위원|배심
news,뉴스|소식|보도
far,먼|훨씬|멀리
price,가격|값
police,경찰
hypothesis,가설|추정|가정
divine,신의|신성한|예언하다
ridicule,조롱|비웃음|비웃다
modify,수정하다|변경하다|조정하다
guardian,보호자|후견인|수호자
chief,우두머리|주요한|최고의
airline,항공사|항공로|항공편
embassy,대사관|사절
deposit,예금|보증금|침전물
poor,가난한|불쌍한|부족한
turnover,이직률|회전율|매출액
irritate,짜증나게 하다|자극하다|화나게 하다
alone,혼자|홀로|단독으로
tiny,아주 작은
profile,개요|옆모습|프로필
evil,악한|사악한|나쁜
invent,발명하다|만들어내다|창조하다
precede,선행하다|앞서다