school,학교|학파|무리지어 다니다
cup,컵|잔|컵에 담다
toward,~쪽으로|~향하여
soak,담그다|흠뻑 젖다
street,거리|도로
clash,충돌하다|부딪치다|대립
miss,놓치다|그리워하다|아가씨
rumor,소문
exit,출구|나가다|퇴장
complement,보완하다|보충|상호보완
mirror,거울|반영하다
dare,감히|도전하다|대담하다
conscience,양심|도덕심
intervene,개입하다|중재하다|간섭하다
handicap,장애|불리함|핸디캡
impose,부과하다|강요하다|세우다
truck,트럭
cover,덮다|표지|포함하다
privacy,사생활|프라이버시
deep,깊은|깊이|진한
desert,사막|버리다|탈영하다
origin,기원|출신|원인
goal,목표|골|목적
pull,당기다|끌다|당김
stroke,치기|뇌졸중|쓰다듬다
knot,매듭|결절|복잡한 문제
leak,새다|누출|구멍
platform,플랫폼|승강장|무대
absolute,절대적인|완전한|무조건적인
fact,사실|진실|실제
rare,드문|희귀한|덜 익힌
ski,스키를 타다|스키
core,핵심|과일의 심|중심
expose,노출시키다|드러내다|폭로하다
last,마지막|지속하다|최근의
visual,시각적인
permanent,영구적인|고정적인|지속적인
museum,박물관|미술관
strict,엄격한|정확한
steal,훔치다|도용하다