technique,기술|기법
style,스타일|방식|양식
species,종|종류
middle,중간|중앙|중간의
enhance,향상시키다|증진하다|개선하다
strike,치다|파업하다|공격
authentic,진짜의|진정한|신뢰할 수 있는
own,자신의|소유하다|인정하다
society,사회|협회
alternate,교대의|대안의|번갈아
aboard,배에|비행기에|기차에
string,끈|줄|일련
draw,그리다|끌어당기다|비기다
colleague,동료|직장동료|동업자
cluster,무리|클러스터|집단
insult,모욕하다|욕하다|무례
exotic,이국적인|외래의|신기한
switch,스위치|전환하다|바꾸다
clap,박수치다|치다|박수
creep,기어가다|살금살금 가다|소름끼치다
prevent,막다|예방하다|방해하다
constrain,제한하다|강요하다|억제하다
second,두 번째의|초|잠깐
invade,침입하다|침략하다|침해하다
subway,지하철
tremendous,엄청난|막대한|굉장한
govern,통치하다|지배하다|규제하다
establish,설립하다|확립하다|입증하다
fruit,과일|열매|결과
sentence,문장|선고|선고하다
level,수준|평평한|단계
up,위로|일어나
knee,무릎|꿇다
enemy,적|원수|적대자
say,말하다|진술하다
panel,패널|위원회|판자
cart,수레|카트|수레에 싣다
guest,손님|게스트|초대받은 사람
sauce,소스
pear,배|배나무