object,물체|반대하다|목적
bow,절하다|활|뱃머리
do,하다|수행하다|충분하다
choice,선택|선택권|선택된
extreme,극단적인|극도의|극한
crawl,기어가다|크롤링|천천히 움직이다
class,수업|계급|등급
leather,가죽|가죽의
incident,사건|사고|부수적인
swell,부풀다|팽창하다|증가
series,연속|시리즈
effort,노력|시도|성과
couple,부부|몇 개|연결하다
let,허락하다|~하게 하다|임대하다
pave,포장하다|닦다|준비하다
fork,포크|갈래|분기점
stock,재고|주식|비축하다
young,젊은|어린
continent,대륙|자제력 있는|대륙의
monitor,모니터|감시하다|화면
royal,왕의|왕실의
compatible,호환되는|양립할 수 있는|적합한
chew,씹다|꼭꼭 씹다|생각하다
breakfast,아침식사|조식|아침을 먹다
illude,속이다|기만하다|환상을 주다
deficit,적자|부족|결손
heavy,무거운|심한|진한
greed,탐욕|욕심|지나친 욕망
nail,손톱|못|꼭 잡다
hire,고용하다|빌리다|임대
walk,걷다|산책
conscious,의식적인|깨어있는|의식하고 있는
table,테이블|식탁|표
whale,고래
curl,곱슬|말다|구부러지다
through,~을 통해|~을 거쳐서
silent,조용한|침묵하는
event,사건|행사|경기
experience,경험|체험|경험하다
document,문서|기록하다|증명서