fence,울타리|펜싱|매매하다
gaze,응시하다|바라보다|시선
descend,내려가다|하강하다|유래하다
shower,샤워|소나기
cure,치료하다|해결책|치료
predator,포식자|약탈자
consent,동의하다|승낙|동의
beach,해변|바닷가|해안
tough,힘든|단단한|강인한
grape,포도|포도주
stiff,뻣뻣한|단호한|힘든
almost,거의|대부분|다
envy,부러워하다|질투|부러움
consume,소비하다|소모하다|먹다
cattle,소|가축|소떼
skin,피부|껍질
forth,앞으로|이후
peak,정상|최고점|뾰족한
rid,제거하다|없애다
bright,밝은|똑똑한|명랑한
snow,눈|눈이 오다
gap,간격|차이|구멍
merge,합병하다|합치다|융합하다
entire,전체의|완전한|모든
elect,선출하다|선택하다|전기
sponsor,후원자|스폰서|후원하다
graph,그래프|도표|차트
fare,요금|음식|지내다
assess,평가하다|산정하다|과세하다
amuse,재미있게 하다|즐겁게 하다|웃기다
maximum,최대|최고|극대
collect,모으다|수집하다|징수하다
upon,~위에|~하자마자
emergency,비상사태|응급|긴급
adolescent,청소년|사춘기의|미성숙한
snake,뱀
monument,기념비|유적|기념물
physical,신체의|물리적인|물질적인
crown,왕관|관|정상
white,흰색의|백인