communicate,소통하다|전달하다|의사소통
committee,위원회|위원
moderate,온건한|적당한|중재하다
confirm,확인하다|승인하다|확증하다
beyond,~넘어서|~이상|~외에
nose,코|냄새를 맡다
help,도움|돕다|방해하다
note,노트|음표|주목하다
demon,악마|귀신|악한 사람
vaccine,백신
sew,바느질하다
simultaneous,동시의|동반하는
despair,절망|포기하다
confide,신뢰하다|고백하다|위임하다
output,산출|출력|생산량
giant,거대한|거인
approach,접근하다|방법|접근로
ceiling,천장|한도|상한
matter,문제|물질|중요하다
serious,심각한|진지한|중대한
pencil,연필
poll,여론조사|투표
code,코드|부호|암호
again,다시|또|재차
thorough,철저한|완벽한
sigh,한숨 쉬다|한숨
attract,끌다|유치하다|매력적이다
pause,멈추다|일시정지|휴식
cut,자르다|절단|감소
retreat,후퇴|철수|물러나다
remote,먼|원격의|외딴
bark,짖다|나무껍질|배
span,기간|범위|걸치다
clever,똑똑한|영리한|교묘한
calculate,계산하다|산정하다|예상하다
narrow,좁은|제한된|세밀한
rot,썩다|부패하다|부패
strange,이상한|낯선|기묘한
link,연결|링크|고리
earth,지구|땅|흙