decade,10년|십년|십년간
satisfy,만족시키다|충족시키다
practical,실용적인|실제의|현실적인
day,날|하루|낮
migrate,이주하다|이동하다
course,과정|코스|진행
rank,순위|계급|등급을 매기다
whereas,~인 반면에
drive,운전하다|몰아가다|추진력
minute,분|작은|상세한
name,이름|명명하다
alien,외국인|외계인|낯선
content,내용|만족한|만족시키다
spray,뿌리다|분무기
guilt,죄책감|죄|유죄
very,매우|아주
picture,그림|사진|상상하다
garden,정원|원예|공원
zone,지역|구역
collaborate,협력하다|공동작업하다|협조하다
spy,스파이|염탐하다
hostile,적대적인|적의|반대하는
I,나|나는|내가
bend,구부리다|굽히다|구부러지다
adventure,모험|모험담|대담한 일
decorate,장식하다|꾸미다|훈장을 주다
approve,승인하다|찬성하다|인정하다
delicious,맛있는|훌륭한|즐거운
think,생각하다|~라고 여기다
analyze,분석하다|해석하다|검토하다
stop,멈추다|정지|정류장
dance,춤|춤추다|댄스
earn,벌다|얻다|받을 만하다
grant,허가하다|수여하다|보조금
brake,브레이크|제동하다|멈추다
teach,가르치다
reach,도달하다|닿다|범위
pot,냄비|항아리|화분
hammer,망치|두드리다
dot,점|점을 찍다