below,아래에|~아래|이하
spark,불꽃|불꽃을 일으키다
hard,단단한|어려운|열심히
ill,아픈|나쁜|병든
apparent,명백한|보이는|외관상의
fry,튀기다|볶다|화나다
ship,배|선박|운송하다
salt,소금|소금 치다
stress,스트레스|강조|강조하다
put,놓다|두다|적다
slide,미끄러지다|슬라이드
nowhere,아무데도~않다|어디에도|아무곳도
exhibit,전시하다|보여주다|전시
discriminate,차별하다|구별하다|식별하다
dynamic,역동적인|동적인|활발한
bitter,쓴|격한|신랄한
well,잘|우물|건강한
bet,내기하다|확신하다|베팅
mud,진흙|오점
expand,확장하다|펼치다|늘어나다
inhibit,억제하다|방해하다|제한하다
skill,기술|솜씨|능력
wing,날개|측면
storm,폭풍|돌격하다
hunger,배고픔|굶주림|갈망
integrate,통합하다|통합된|완전한
free,자유로운|무료의|해방하다
ghost,유령|귀신|흔적
complicate,복잡하게 하다|어렵게 만들다|복잡해지다
teenage,십대의
entry,진입|기록|참가
pitch,던지다|음높이|피치
bat,방망이|박쥐|때리다
gate,문|게이트|입구
color,색깔|색칠하다|색상
examine,조사하다|검사하다|시험하다
gas,가스|연료|가솔린
deficiency,부족|결핍|결함
contemporary,현대의|동시대의|현대인
threat,위협|협박