function,기능|작동하다|함수
interest,관심|이자|이익
guide,안내하다|가이드|지도
eager,열망하는|간절한|열심인
count,세다|계산하다|중요하다
balloon,풍선|기구|부풀다
dine,식사하다|저녁을 먹다|대접하다
hit,치다|맞다|성공하다
metal,금속|메탈|금속의
charity,자선|자선단체|관용
domestic,국내의|가정의|사육되는
that,저것|그것|~라는 것
portrait,초상화|인물 사진
hence,따라서|여기서|앞으로
body,몸|시체|단체
faint,기절하다|희미한|약한
minimum,최소|최저|최소한
refine,정제하다|개선하다|세련되게 하다
aware,알고 있는|인식하고 있는|의식하고 있는
TRUE,사실인|진실된
principle,원리|원칙|주의
just,정확히|단지|공정한
neat,깔끔한|정돈된|훌륭한
nightmare,악몽|지옥
shift,이동하다|변화|교대
copyright,저작권|저작권을 가진
distribute,분배하다|배포하다|유통시키다
territory,영토|영역|지역
evolution,진화|발전
mention,언급하다|말하다
proof,증거|증명|교정쇄
await,기다리다|대기하다|예정되어 있다
subtle,미묘한|섬세한|교묘한
commodity,상품|원자재|필수품
skirt,치마|가장자리를 지나다
mineral,광물|무기질|미네랄
full,가득한|완전한|배부른
see,보다|이해하다|알다
equal,같은|동등한|평등한
mushroom,버섯|급성장하다