suggest,제안하다|암시하다
contact,연락하다|접촉|연락
attitude,태도|자세|관점
bunch,무리|다발|그룹
tone,음색|어조|색조
nurse,간호사|돌보다|간호하다
ban,금지|금지하다|추방하다
joke,농담|장난|농담하다
explore,탐험하다|조사하다|탐구하다
immigrate,이민하다|이주하다|들어오다
exercise,운동|연습|실행하다
pump,펌프|퍼 올리다
justice,정의|사법|판사
propose,제안하다|청혼하다
handle,다루다|손잡이|처리하다
worry,걱정하다|걱정
terminate,끝내다|종료하다
bit,조금|비트|물어뜯다
pioneer,개척자|선구자|개척하다
logic,논리|이치|논리학
candy,사탕|캔디|설탕절임
carry,나르다|지니다|전달하다
treaty,조약|협정
smile,미소|미소 짓다
pop,터지다|튀어나오다|갑자기 나타나다
atmosphere,대기|분위기|환경
halt,멈추다|정지|중단
busy,바쁜|사용중인|번잡한
commit,저지르다|약속하다|위임하다
none,아무도~않다|전혀|하나도
pose,자세|포즈|~인 체하다
breed,번식하다|기르다|품종
spot,점|장소|발견하다
fellow,동료|친구|회원
indicate,나타내다|지시하다|암시하다
photograph,사진|사진을 찍다
degree,정도|학위|도
submarine,잠수함|해저의
heir,상속인|후계자|계승자
secretary,비서|장관